SNo,longitude,title,latitude
85,30.300128,"St. Nicholas Naval Cathedral, St. Petersburg, Russia  #StNicholasNavalCathedral #Saint #Nicholas #Naval #Cathedral #SaintNicholasNavalCathedral #Никольский #морской #собор #saintpetersburg #russia #россия  #city #church #санктпетербург #Петербург #санкт_п",59.922378
86,-81.023739,20161026_0854 Eastern Bluebird (Sialia sialis) female,31.952891
87,120.643692,2016-10-27_09-07-12,24.147179
88,5.344116,,60.393966
89,-78.328611,WxTweeter© Image,35.625556
90,13.41263,"If you feel a bit poorly do something that makes you feel better: eat yummy food, read a good book and feel well at lovely places like #Blumencafe 😁😄 . . #begoodtoyourself #healthyfood #healthyliving #niceplaces #harrypotter #lowcarbgermany #be",52.54621
91,9.663537,Leirkup,59.139421
92,-122.652,Sunset over Hood Canal. #kitsapmemorialstatepark #kitsapstatepark #hoodcanal #sunstar #wander_washington #destinationwashington #wastateparks #wanderingwomen #discoveryournorthwest,47.8176
93,103.856,302/365,1.29306
94,114.173619,#blueskys #harbour #harbor #hongkong #nofilter #nofilterneeded #sunnyday,22.287752
95,11.913819,"Tolered, Göteborg 2010(1)",57.733313
96,11.909813,"Tolered, Göteborg 2010(8)",57.729883
97,11.910069,"Tolered, Göteborg 2010(14)",57.730463
98,11.910025,"Tolered, Göteborg 2010(16)",57.730416
99,11.910136,"Tolered, Göteborg 2010(17)",57.730697
100,11.910269,"Tolered, Göteborg 2010(20)",57.730969
101,11.918111,"Tolered, Göteborg 2010",57.7285
102,11.909861,"Tolered, Göteborg, 2010(1)",57.730263
103,12.206958,Tolsjöhult 2010,57.860422
104,12.209361,"Tolsjöhultsvägen, Tolsjöhult 2010",57.857077
105,12.239702,"Tolsjöhultsvägen, Stannum 2010",57.828694
106,13.599902,Torbjörntorp 2010(1),58.211325
107,103.840141,Moto Z - Front,1.291319
108,11.918299,"Toredalsgatan, Göteborg 2010(2)",57.728391
109,11.918877,"Toredalsgatan, Göteborg 2010",57.728294
110,11.908047,"Toremossegatan, Tolered, Göteborg 2010",57.730236
111,11.909072,"Toremossegatan, Tolered, Göteborg 2010(5)",57.72983
112,11.910172,"Tolered, Göteborg 2010(15)",57.730475
113,-73.3524,Trying to get to work.,41.1387
114,103.840072,Moto Z Style Shells,1.291238
115,103.840125,Moto Z - Back,1.291286
116,103.840224,Moto Mods - Insta-Share Projector,1.291483
117,103.840141,Moto Mods - Hasselblad True Zoom Camera,1.29148
118,12.233133,"Tolsjöhultsvägen, Fröstebohage 2010",57.849636
119,103.840088,Moto Mods - JBL SoundBoost Speaker,1.291263
120,103.840172,Moto Z - Bottom,1.291522
121,103.840133,Moto Mods - Incipio offGRID Power Pack,1.291427
122,103.840155,Moto Mods - JBL SoundBoost Speaker,1.291524
123,12.240688,"Tolsjöhultsvägen, Stannum 2010(1)",57.831638
124,-74.008069,Waning gibbous moon,40.741241
125,103.840125,Moto Z - Side,1.291286
126,103.840111,Moto Mods - Hasselblad True Zoom Camera,1.291494
127,11.908755,"Toremossegatan, Tolered, Göteborg 2010(4)",57.730019
128,11.760188,"Torslanda, Göteborg, 2010(2)",57.731677
129,121.5766,,25.051941
130,121.574769,,25.051363
131,121.576438,,25.051513
132,121.575469,,25.051527
133,121.576172,,25.051633
134,121.576697,,25.052383
135,5.4456,A ghost like morning with a bright and warmth end 😍  #gratitude #grateful #gratefulness #greymorning #thebrightside #mindfulness #phonepic #phonephoto #blackandwhite #monochrome,51.3867
