Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Shiv temple,26.5836367,91.2674193,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
Shiva temple,26.4465354,91.4077762,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,2
Dwarabori Gopal Than Temple,26.4333735,91.3550557,4.8,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,6
"Subansri, Temple",26.6982603,91.3620364,4.1,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,15
Shiva temple,26.4263969,91.4985662,4.8,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,4
Shiba Temple,26.5817681,91.0526002,4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,2
DARAGAON Gonesh Temple,26.794747,91.39168459999999,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
Balilecha Kali Mandir,26.4219942,91.46985280000001,4.6,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,409
Shiv Mandir,26.5478881,91.5405827,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
shiv mandir,26.6154306,91.21004359999999,4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,2
"Durga Temple, Puransripur, Baksa, Assam",26.5561013,91.32705159999999,4.1,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,20
Lakhupur Temple,26.4612282,91.25819039999999,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,4
Kharjara Ashram,26.428749,91.42071899999999,4.6,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,127
"Maa Kamakhya Temple, Kamakhyadham, Haribhanga",26.4422982,91.2780334,4.7,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,42
Helochapara Shiv Temple,26.4842376,91.2811253,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,9
Udaypur Jagannath Temple,26.4523096,91.4353458,4.9,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,9
"Tholabai Shiv Temple, Digheli",26.4913083,91.3039979,4.4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,5
Majarmakha Shree Shree Jagannath Temple (Nath-Yogi),26.6264105,91.1735741,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
