Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
Shirsath Lawns शिरसाठ लॉन,19.132143,74.7478548,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
"Garden, MPKV, Rahuri",19.3519953,74.6448348,4.4,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,5
Vishwratan.dr.babasaheb ambedkar chouk pimpla,18.9260718,74.9117626,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
Gaikwad Farm 🌾🌳,19.0355581,74.79041579999999,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
Kuldip Agase ( khandobachiwadi),19.1287051,75.0160549,4.5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,4
जठार वस्ती,19.3118211,74.6761054,4,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,2
AV’s Heaven,19.2007387,74.7375327,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
Kishor aapa khatade,19.0944025,74.7990884,4,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,2
Cav Alcove,19.0802199,74.7839037,4.1,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,8
SITTING PLACE (DESTINATION),19.1400158,74.7788119,3.5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,2
Veer,19.0791379,74.7626251,5,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
मा. श्री. बाळासाहेब ठाकरे उद्यान,19.0725445,74.7321163,4.7,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,3
सह्याद्री हायटेक नर्सरी ( लोहसर ),19.1771823,74.94966389999999,3,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,1
"Jamgaon, Parner",19.0668598,74.4950787,4.6,"park, point_of_interest, establishment",parks,Maharashtra,Spring,Ahmednagar,16
HISTORICAL MUSEUM & RESEARCH CENTRE,19.0935085,74.7432934,4.4,"museum, point_of_interest, establishment",museum,Maharashtra,Winter,Ahmednagar,227
Cavalry Tank Museum Ahilyangar,19.0718726,74.74921069999999,4.7,"museum, tourist_attraction, point_of_interest, establishment",museum,Maharashtra,Winter,Ahmednagar,2139
Meher Baba Museum,19.0310682,74.7145714,4.8,"museum, point_of_interest, establishment",museum,Maharashtra,Winter,Ahmednagar,46
Farah Bagh,19.0683563,74.7521623,4.1,"tourist_attraction, point_of_interest, establishment",museum,Maharashtra,Winter,Ahmednagar,453
Meerawali Phad,19.1491865,74.7874819,4.3,"museum, point_of_interest, establishment",museum,Maharashtra,Winter,Ahmednagar,43
Armoured Corps Center,19.0924732,74.7474074,4.2,"museum, point_of_interest, establishment",museum,Maharashtra,Winter,Ahmednagar,19
Manjarsumba Fort,19.2515875,74.7490078,4.5,"tourist_attraction, museum, point_of_interest, establishment",museum,Maharashtra,Winter,Ahmednagar,431
